sr_no,movie_id,movie_name,year,genre,overview,director,cast,language
2403,tt8561344,Varnecha Wagh,1970,"Biography, Crime, Drama","Based on Annabhau Sathe's novel by the same name is a story depicting a hero who fights against the money lenders, landlords and the British.",Vasant Painter,"Barchi Bahdur, Bhalchandra Kulkarni, Manikaraj",marathi
2404,tt2644922,Tithe Nandati Laxmi,1971,Drama,Tithe Nandati Laxmi is a Marathi movie released in 1971. Produced by Mrs. Sudha Padagaonkar and directed by Bal Korde. The movie is based on the story of a loving family and how the newly-wed bride takes her time to settle in.,Bal Korde,"Naren Chawan, Ramesh Deo, Kusum Deshpande",marathi
2405,tt4373868,Classmates,2015,"Drama, Romance, Thriller","Satya, the leader of a party in his college, falls in love with Aditi, the niece of a politician. However, things turn complicated when Aditi stands against Satya in the elections of their college.",Aditya Sarpotdar,"Siddharth Chandekar, Ankush Chaudhari, Ramesh Deo",marathi
2406,tt7679884,Nude,2018,Drama,"Starring Kalyanee Mulay, Chhaya Kadam and Naseeruddin Shah (in a special appearance), the movie is centered around a mother who poses as a nude model for students of an art college, in order to fund her son's education.",Ravi Jadhav,"
Kalyanee Mulay, Chhaya Kadam, Om Bhutkar",marathi
2407,tt0273478,Brahmachari,1938,Political Satire,"This film addresses the Rashtriya Swayamsevak Sangh (RSS), a Hindu organization emphasizing celibacy and discipline, which became the power base of the right-wing Bharatiya Janata Party (BJP). An ordinary young man Audumbar (Vinayak), inspired by a militant lecture on bachelorhood and nationalism by the Deshbhakta Jatashankar (Javdekar), renounces sexual desire, throws away his collection of movie star posters, starts exercising his muscles in the tradition of Hanuman's disciples and joins the Self-Help Institute of the Acharya Chandiram (Malvankar). All his discipline comes to naught in the face of Kishori (Meenakshi).",Vinayak Karnataki,"Vinayak Karnataki, MeenaxiV.G. Jog",marathi
2408,tt0214091,Satiche Vaan,1969,Music,Add a plot.,Datta Dharmadhikari,"Sushama Shiromanee, Asha Kale, Majnalkar",marathi
2409,tt8528278,Thorli Jaau,1982,"Drama, Family",Sadashiv lives with his younger brother Avinash and sister Pramila.He meets a beautiful and big heartened Urmila and both get married soon.Things are going well until they find that Urmila wont be able to bear a child and if she does she will loose her life.Sadashiv decides never to have a child and endanger Urmila's life and she insists him to get married again.Sadashiv and Urmila then raise Avinash and Pramila as their own kids.Avinash studies in another city where he meets Namita and they soon get married but the happiness is short lived as Namita divides the family and Sadashiv is jailed.,Kamalakar Torne,"Raja Bapat, Ramesh Bhatkar, Deeplakshmi",marathi
2410,tt2511716,Tingya,2008,Drama,"Tingya, where he lives in a village in Maharashtra. Tingya's parents are poor farmer owns a pair of bulls, Chitangya and Patangya. 'Tingya' has a great relationship with Chitangya. Chitangya is part of Tingya's life. One day Chitangya is injured and is unable to stand and cant work in farm. Tingya's father, who is already burdened with debt, is left with no option but to sell the ailing bull to a butcher and buy a new one. The rest of the story consists of how'Tingya' tries to save Chitangya from being sold to the butcher.","Mangesh Hadawale, Shantanu Ganesh Rode","Sunil Deo, Sharad Geokar, Pradeep Patwardhan",marathi
2411,tt1219307,Aaram Haram Aahe!,1976,Drama,"Sudha Godbhole lives a poor lifestyle in Bombay along with her widowed mother and works as a Secretary, earning a salary of Rs.300/- every month. She meets with and falls in love with her neighbor, Suresh Vichare, who works in a Garage as a Motor Mechanic, earns a salary of Rs.200/- every month, and rents a terraced room. Both plan to get married, and Suresh even starts giving her money so that they save for their future children. Then one day Suresh does not return home and jewelry and cash are found stolen from the Godbhole residence, including the cash that Suresh left in their safe-keeping. Sudha and Suresh's friend, Sudam, start to look for him and make inquiries at the garage, and are told that he has not attended work for two days and has taken off with a customer's Impala. Sudha and Sudam eventually do locate Suresh near Bangalore but find that he is now living a wealthy lifestyle by impersonating Mahesh Kuber, an industrialist, and also has a chic girlfriend by the name of Padma. Watch what impact this has on Sudha and Sudam.",Kamalakar Torne,"Roohi Berde, Suresh Bhagwat, Padma Chavan",marathi
2412,tt0252071,Umaj Padel Tar,1960,Drama,Add a plot.,Dinkar D. Patil,"Ramesh Deo, Chitra Navathe, Sharad Talwalkar",marathi
2413,tt9460478,Picasso,2019,Drama,"Gandharva, a 7th grade student from a remote village in the Konkan belt of Maharashtra is selected for a National Painting Competition. The winner gets to travel to Spain - Picasso's birthplace - to hone their art. But entering the competition requires a fee that his parents cannot afford. With an ailing mother and a father struggling with debt and alcoholism, the chances of him being able to participate look slim. Gandharva's father Pandurang was once an accomplished stage actor, but his addiction now stands in the way of him performing, which was both his passion and a means to provide for his family. Will Pandurang be able to fight his demons and bring his art back to life - not for himself, but for his son? Picasso is a story about fathers and sons, hope and dreams - of life imitating art, and how art can heal lives.","Abhijeet Warang, Tushar Paranjape","Prasad Oak, Ashwini Mukadam, Samay Tambe",marathi
2414,tt0156127,Thakas Mahathak,1984,"Comedy, Drama",Raiya and his friends are fed up of living innocent lives and decide to con people.Raiya and his friends reach village of their friend Gajya.The village is feared by Nanasaheb.The friends then decide to con Nanasaheb.,Raja Bargir,"Mandakani Bhadbhade, Suhas Bhalekar, Atmaram Bhende",marathi
2415,tt4602608,Kaakan,2015,Romance,Simple Lovestory of kisu who is poor and sudha who belongs to rich family which comes to an end after long period.,Kranti Redkar,"Aakash Banerjee, Ashutosh Gaikwad, Jitendra Joshi",marathi
2416,tt9024664,Me Shivaji Park,2018,Crime,"Five retired men are regular joggers at Shivaji Park discussing their families and current affairs with each other. But when one of their family members dies, they decide to investigate it themselves.","Satish Padwal, Mahesh Manjrekar","Ashok Saraf, Vikram Gokhale, Dilip Prabhawalkar",marathi
2417,tt2521252,Bharatiya,2012,"Comedy, Drama",Abhay is in for a shock after he goes to his native place to claim his right on his ancestral property. He seeks the help of government officials who don't pay him any heed. Will he achieve success?,Girish Mohite,"Mohan Agashe, Makarand Anaspure, Subodh Bhave",marathi
2418,tt2196564,Pune-52,2013,"Drama, Thriller","Amar Apte is a private detective who makes ends meet by spying on cheating partners. His life is in shambles, and his marriage, a mess. A chance encounter with a client leads to dramatic changes in his life, as the city that he lives in, changes around him. Set in Pune, in the year 1992, Pune 52 is a gripping neo-noir drama.",Nikhil Mahajan,"Girish Kulkarni, Sai Tamhankar, Sonali Kulkarni",marathi
2419,tt0156111,Sukhache Sobti,1958,"Family, Social, Drama","Savitribai lives a lavish lifestyle living on the wealth of her dead husband she married her husband as she wanted his wealth while her husband wanted mother for his son Anandrao. Years later Anandrao marries Geeta a village girl and Savitribai is unhappy with it neither she likes their kid Ashok. Anandrao and Savitribai,s relationship is not on good terms. She enjoys the company of family Doctor Vishram and spends long hours with him. Geeta goes for her sister Kusum's wedding where her father in law is about to cancel the marriage if they don't give gold to her.Geeta convinces her husband for marriage promising that he will return the given gold back to her as it belongs to Savitribai, after marriage there is no name of getting the gold back where as Geeta has to rush home after she receives telegram saying Anandrao has met with serious accident Anandrao passes away as soon Geeta reaches few days after his death Savitribai asks Geeta to get her gold from Kusum and then only return to her house.Upon reaching her home she finds her father is missing since he went to get gold from Kusum's house and has no way to go.",Raja Bargir,"Dhumal, Chittaranjan Kolhatkar, Anant Kumar",marathi
